number,value,datetime_start,datetime_complete,duration,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,params_IMS_binarization_threshold,params_IMS_gaussian_sigma,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state
35,-0.018326043630205166,2025-03-25 15:52:23.159640,2025-03-25 15:52:24.270675,0 days 00:00:01.111035,24.197723883647193,True,0.3957447166256632,4.660698090433805,0.13358920030041496,0.04373248551909575,0.00397278300802553,2.5398903401198236,242.0,0.16875871687587168,1434.0,1192.0,,,-0.10859316762691822,-0.22954896683853096,"[[-9.65670607e-02  8.82836297e-02  1.32270939e+02]
 [-8.82836297e-02 -9.65670607e-02  2.78827312e+02]]",1000.0,1.0000000000000153,1.0000000000000275,676.0,COMPLETE
36,0.0,2025-03-25 15:52:24.279525,2025-03-25 15:52:25.384803,0 days 00:00:01.105278,78.97553577563765,True,0.19872722167220724,4.134066716432517,0.07864805310973946,0.0756602797022319,0.4055468196514138,4.062139129277685,0.0,0.0,1.0,1.0,,,,-1.0,"[[-1.43382403e-03  4.53052699e-03  5.81741516e+02]
 [-4.53052699e-03 -1.43382403e-03  1.10375619e+02]]",1.0,,1.0000000000000004,0.0,COMPLETE
37,0.07985909810819382,2025-03-25 15:52:25.393984,2025-03-25 15:52:28.237598,0 days 00:00:02.843614,11.999349465588296,False,0.10281866146725875,3.7179627931986596,0.18111918055891393,0.09643743433660452,0.12499135754812797,4.626888563385182,77770.0,0.7577041865177954,102639.0,24869.0,,,0.10539614209498399,0.5150817895266833,"[[ 1.21425544e+00  6.02145285e-03  1.45178890e+02]
 [-6.02145285e-03  1.21425544e+00  1.66266151e+01]]",77976.0,1.000000000000492,1.0000000000043479,102433.0,COMPLETE
38,0.2953866090896704,2025-03-25 15:52:28.248536,2025-03-25 15:52:29.380613,0 days 00:00:01.132077,9.777578870198177,False,0.10844388125949958,3.3556507453963342,0.18853546382930353,0.08940316137219984,0.06466689206161928,3.0769285056700895,22.0,0.6111111111111112,36.0,14.0,,,0.483359905783097,0.19029322367867751,"[[ 5.31099315e-03 -2.10497162e-02  1.14818663e+02]
 [ 2.10497162e-02  5.31099315e-03  2.28357898e+02]]",25.0,1.0000000000000004,1.0000000000000016,33.0,COMPLETE
39,0.0,2025-03-25 15:52:29.390246,2025-03-25 15:52:30.544826,0 days 00:00:01.154580,4.484287904905393,False,0.07085837632824848,2.420608117834641,0.19596905427987232,0.11405487240133676,0.5325989793124685,2.9492388790475945,0.0,0.0,18.0,18.0,,,,-0.23853698165524845,"[[ 1.43712984e-02 -3.25531802e-03  5.91471442e+02]
 [ 3.25531802e-03  1.43712984e-02  1.18243502e+02]]",0.0,,1.0000000000000016,18.0,COMPLETE
40,0.052715860363867426,2025-03-25 15:52:30.555242,2025-03-25 15:52:34.266783,0 days 00:00:03.711541,12.235822601905298,False,0.004505160614539622,3.324750009975249,0.17971041009904093,0.08769923094257283,0.12546257299399163,1.7845976482550474,127911.0,0.9524486771856407,134297.0,6386.0,,,0.05534771754803187,0.5491744421318384,"[[ 1.65489883  0.09341864 -6.76569426]
 [-0.09341864  1.65489883 -3.6264024 ]]",130822.0,1.000000000000581,1.0000000000046902,131386.0,COMPLETE
41,0.06910782837737621,2025-03-25 15:52:34.278121,2025-03-25 15:52:37.935257,0 days 00:00:03.657136,14.059083353614358,False,0.013823516761511084,2.9453888419734007,0.18388119492888536,0.08834322050590351,0.13595136605935965,1.9794353158587366,125112.0,0.9686365290369533,129163.0,4051.0,,,0.07134546995257884,0.5871578992432265,"[[ 1.61917007  0.04117475 -1.77761694]
 [-0.04117475  1.61917007 -2.87640105]]",125761.0,1.0000000000040117,1.000000000005549,128514.0,COMPLETE
42,-0.038977796043823905,2025-03-25 15:52:37.948098,2025-03-25 15:52:40.555024,0 days 00:00:02.606926,11.16742932147813,False,0.006764933920331975,2.9134974994027774,0.18119748707046185,0.09045385075189984,0.11379165237748935,1.8388029119198324,60935.0,0.6240462901326232,97645.0,36710.0,,,-0.06245978328873694,0.1035950097787622,"[[ 1.08670484  0.0582386   1.09820996]
 [-0.0582386   1.08670484 16.99344775]]",61136.0,1.0000000000003364,1.000000000003123,97444.0,COMPLETE
43,0.0,2025-03-25 15:52:40.565849,2025-03-25 15:52:41.689782,0 days 00:00:01.123933,11.337768586399491,False,0.10601275349009563,3.1967813146273576,0.18370226113936514,0.10390051049038265,0.06073776750084499,1.12628796768938,0.0,0.0,1.0,1.0,,,,,"[[ 5.81143398e-04 -3.90650411e-03  1.74184535e+02]
 [ 3.90650411e-03  5.81143398e-04  8.20416682e+00]]",1.0,,,0.0,COMPLETE
44,0.0,2025-03-25 15:52:41.702135,2025-03-25 15:52:42.833863,0 days 00:00:01.131728,16.15908852636916,False,0.07569326926691891,2.6889366120146567,0.18447366170237894,0.12683333753364212,0.1484410701468672,0.9517330258882613,0.0,0.0,1.0,1.0,,,,,"[[-1.19720734e-04  2.10779565e-03  1.52824109e+02]
 [-2.10779565e-03 -1.19720734e-04  1.55658563e+02]]",1.0,,,0.0,COMPLETE
45,0.0,2025-03-25 15:52:42.844009,2025-03-25 15:52:42.885849,0 days 00:00:00.041840,1.5533635893844089,False,0.8325357182897242,3.303895359268548,0.15808092302379,0.15527918127738766,0.7730076074057302,2.074013508630693,,,,,,,,,,,,,,COMPLETE
46,0.0,2025-03-25 15:52:42.895476,2025-03-25 15:52:42.967455,0 days 00:00:00.071979,24.151404349550482,False,0.005392515145254961,3.5458580232860575,0.19909028689012626,0.08262536274750958,0.31629372976049575,1.8867414758268273,,,,,,,,,,,,,,COMPLETE
47,-0.05886839206953646,2025-03-25 15:52:42.977553,2025-03-25 15:52:44.095332,0 days 00:00:01.117779,9.429249653155328,False,0.12342919548135553,2.0910589524309113,0.16911926415357542,0.09816965076785637,0.03735213760017615,2.5272064604811013,622.0,0.6797814207650273,915.0,293.0,,,-0.08659900119553997,0.2810795313296714,"[[-1.34577233e-03 -1.07835482e-01  6.68154092e+01]
 [ 1.07835482e-01 -1.34577233e-03  1.20949722e+02]]",644.0,1.0000000000000153,1.0000000000000155,893.0,COMPLETE
48,0.0,2025-03-25 15:52:44.105956,2025-03-25 15:52:45.223847,0 days 00:00:01.117891,21.589544108458163,False,0.07052660375569521,2.9985630559078738,0.1506646639444973,0.1181053147358688,0.0942038213582034,1.299083394839538,0.0,0.0,2.0,2.0,,,,-1.0,"[[-3.39332838e-03  1.58685800e-03  1.72045951e+02]
 [-1.58685800e-03 -3.39332838e-03  8.78497503e+00]]",2.0,,1.0000000000000002,0.0,COMPLETE
49,0.09759519926436175,2025-03-25 15:52:45.234394,2025-03-25 15:52:46.367363,0 days 00:00:01.132969,16.03282969360663,False,0.04235650345955893,1.627383328643942,0.1757136227345209,0.15001523081246831,0.14239744602221935,0.48939452666776084,37.0,0.2483221476510067,149.0,112.0,,,0.393018505145673,-0.1146020178858074,"[[-3.52210753e-02 -3.14188727e-02  3.98689802e+02]
 [ 3.14188727e-02 -3.52210753e-02  2.82314910e+00]]",107.0,1.0000000000000007,1.0000000000000075,79.0,COMPLETE
